level,tag,count
sec,{http://www.w3.org/1998/Math/MathML}msub,39686
sec,disp-formula,55733
sec,alternatives,56685
sec,list,55366
sec,list-item,55366
sec,{http://www.w3.org/1998/Math/MathML}mtext,25310
sec,{http://www.w3.org/1998/Math/MathML}mspace,17647
sec,underline,17925
sec,{http://www.w3.org/1998/Math/MathML}mover,12841
sec,{http://www.w3.org/1998/Math/MathML}msup,28576
sec,permissions,10322
sec,copyright-holder,10231
sec,{http://www.w3.org/1998/Math/MathML}munder,7623
sec,{http://www.w3.org/1998/Math/MathML}msqrt,9855
sec,{http://www.w3.org/1998/Math/MathML}mfrac,35992
sec,alt-text,11267
sec,{http://www.w3.org/1998/Math/MathML}mtable,16350
sec,{http://www.w3.org/1998/Math/MathML}mtr,16330
sec,{http://www.w3.org/1998/Math/MathML}mtd,16351
sec,{http://www.w3.org/1998/Math/MathML}mstyle,12429
sec,sc,23827
sec,tex-math,16112
sec,{http://www.w3.org/1998/Math/MathML}mfenced,16628
sec,inline-graphic,18659
sec,array,586
sec,{http://www.w3.org/1998/Math/MathML}munderover,12593
sec,attrib,5824
sec,monospace,3494
sec,disp-quote,9892
sec,email,1853
sec,styled-content,5301
sec,funding-source,4386
sec,award-id,1059
sec,statement,1728
sec,boxed-text,5227
sec,inline-supplementary-material,3710
sec,{http://www.w3.org/1998/Math/MathML}semantics,468
sec,{http://www.w3.org/1998/Math/MathML}mmultiscripts,398
sec,{http://www.w3.org/1998/Math/MathML}mprescripts,366
sec,{http://www.w3.org/1998/Math/MathML}none,358
sec,{http://www.w3.org/1998/Math/MathML}annotation,221
sec,def-list,1370
sec,def-item,1370
sec,term,1370
sec,def,1374
sec,private-char,294
sec,glyph-data,290
sec,{http://www.w3.org/2000/svg}svg,290
sec,{http://www.w3.org/2000/svg}metadata,290
sec,{http://www.w3.org/2000/svg}g,290
sec,{http://www.w3.org/2000/svg}path,290
sec,glyph-ref,192
sec,sans-serif,92
sec,{http://www.w3.org/1998/Math/MathML}mpadded,778
sec,long-desc,84
sec,disp-formula-group,459
sec,strike,508
sec,institution-wrap,1344
sec,institution-id,1338
sec,institution,1344
sec,{http://www.w3.org/1998/Math/MathML}mroot,366
sec,copyright-statement,534
sec,copyright-year,531
sec,license,661
sec,license-p,661
sec,fn-group,208
sec,ref-list,100
sec,ref,99
sec,element-citation,88
sec,person-group,94
sec,name,94
sec,surname,100
sec,given-names,101
sec,etal,62
sec,collab,26
sec,article-title,90
sec,source,102
sec,year,100
sec,volume,93
sec,issue,81
sec,fpage,94
sec,pub-id,88
sec,overline,91
sec,x,265
sec,def-head,25
sec,{http://www.w3.org/1998/Math/MathML}mlabeledtr,37
sec,{http://www.w3.org/1998/Math/MathML}malignmark,531
sec,{http://www.w3.org/1998/Math/MathML}maligngroup,608
